SITEID,LAT,LONG,COUNTY,STATE
ARVA,43.08,-81.2,CANADA,ON
BEAN & BEAT,43.3,-84.13,SAGINAW,MI
BROOKINGS,44.31,-96.78,BROOKINGS,SD
BROWNSTOWN,38.95,-88.96,FAYETTE,IL
COLUMBIA,38.94,-92.32,BOONE,MO
CROOKSTON,47.81,-96.48,POLK,MN
DEKALB,41.84,-88.85,DEKALB,IL
DIXON SPRING ,37.43,-88.67,POPE,IL
DPAC,40.25,-85.15,RANDOLPH,IN
EAST LANSING,42.72,-84.46,INGHAM,MI
ELORA,43.64,-80.41,CANADA,ON
FREEPORT,42.28,-89.7,STEPHENSON,IL
HANCOCK,44.11,-89.54,WAUSHARA,WI
HARROW,42.03,-82.9,CANADA,ON
HURON,43.32,-81.5,CANADA,ON
KELLOGG,42.32,-85.38,KALAMAZOO,MI
LAMBERTON,44.24,-95.32,REDWOOD,MN
LANCASTER,42.83,-90.79,GRANT,WI
LEXINGTON,38.09,-84.53,FAYETTE,KY
MANHATTAN,39.14,-96.64,RILEY,KS
MCNAY,40.97,-93.42,LUCAS,IA
METAMORA,40.77,-89.34,WOODFORD,IL
MONMOUTH,40.94,-90.72,WARREN,IL
MONROE,41.92,-83.39,MONROE,MI
MORRISIL,41.37,-88.43,GRUNDY,IL
MORRISMN,45.59,-95.9,STEVENS,MN
NASHUA,42.93,-92.57,FLOYD,IA
NEPAC,41.1,-85.4,WHITLEY,IN
OCEANA,43.56,-86.38,OCEANA,MI
PERRY,39.81,-90.82,PIKE,IL
PIONEER,44.76,-91.56,EAUCLAIRE,WI
PIT,40.45,-86.93,TIPPECANOE,IN
PORTAGEVILLE,36.41,-89.7,PEMISCOT,MO
PPAC,41.44,-86.93,PORTER,IN
PRINCETON,37.1,-87.86,CALDWELL,KY
RIDGETOWN,42.45,-81.88,CANADA,ON
ROSEMOUNT,44.72,-93.1,DAKOTA,MN
SEPAC,39.04,-85.53,JENNINGS,IN
SEYMOUR,44.52,-88.33,OUTAGAMIE,WI
SUTHERLAND,42.92,-95.54,OBRIEN,IA
URBANA,40.1,-88.23,CHAMPAIGN,IL
WALWORTH,42.53,-88.6,WALWORTH,WI
